0;1;2;3;4;5;6;7;8;1;2;3;4;5;6;7;8;9;2;3;4;5;6;7;8;9;10;3;4;5;6;7;8;9;10;11
1;0;1;2;3;4;5;6;7;2;1;2;3;4;5;6;7;8;3;2;3;4;5;6;7;8;9;4;3;4;5;6;7;8;9;10
2;1;0;1;2;3;4;5;6;3;2;1;2;3;4;5;6;7;4;3;2;3;4;5;6;7;8;5;4;3;4;5;6;7;8;9
3;2;1;0;1;2;3;4;5;4;3;2;1;2;3;4;5;6;5;4;3;2;3;4;5;6;7;6;5;4;3;4;5;6;7;8
4;3;2;1;0;1;2;3;4;5;4;3;2;1;2;3;4;5;6;5;4;3;2;3;4;5;6;7;6;5;4;3;4;5;6;7
5;4;3;2;1;0;1;2;3;6;5;4;3;2;1;2;3;4;7;6;5;4;3;2;3;4;5;8;7;6;5;4;3;4;5;6
6;5;4;3;2;1;0;1;2;7;6;5;4;3;2;1;2;3;8;7;6;5;4;3;2;3;4;9;8;7;6;5;4;3;4;5
7;6;5;4;3;2;1;0;1;8;7;6;5;4;3;2;1;2;9;8;7;6;5;4;3;2;3;10;9;8;7;6;5;4;3;4
8;7;6;5;4;3;2;1;0;9;8;7;6;5;4;3;2;1;10;9;8;7;6;5;4;3;2;11;10;9;8;7;6;5;4;3
1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;1;2;3;4;5;6;7;8;9;2;3;4;5;6;7;8;9;10
2;1;2;3;4;5;6;7;8;1;0;1;2;3;4;5;6;7;2;1;2;3;4;5;6;7;8;3;2;3;4;5;6;7;8;9
3;2;1;2;3;4;5;6;7;2;1;0;1;2;3;4;5;6;3;2;1;2;3;4;5;6;7;4;3;2;3;4;5;6;7;8
4;3;2;1;2;3;4;5;6;3;2;1;0;1;2;3;4;5;4;3;2;1;2;3;4;5;6;5;4;3;2;3;4;5;6;7
5;4;3;2;1;2;3;4;5;4;3;2;1;0;1;2;3;4;5;4;3;2;1;2;3;4;5;6;5;4;3;2;3;4;5;6
6;5;4;3;2;1;2;3;4;5;4;3;2;1;0;1;2;3;6;5;4;3;2;1;2;3;4;7;6;5;4;3;2;3;4;5
7;6;5;4;3;2;1;2;3;6;5;4;3;2;1;0;1;2;7;6;5;4;3;2;1;2;3;8;7;6;5;4;3;2;3;4
8;7;6;5;4;3;2;1;2;7;6;5;4;3;2;1;0;1;8;7;6;5;4;3;2;1;2;9;8;7;6;5;4;3;2;3
9;8;7;6;5;4;3;2;1;8;7;6;5;4;3;2;1;0;9;8;7;6;5;4;3;2;1;10;9;8;7;6;5;4;3;2
2;3;4;5;6;7;8;9;10;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8;1;2;3;4;5;6;7;8;9
3;2;3;4;5;6;7;8;9;2;1;2;3;4;5;6;7;8;1;0;1;2;3;4;5;6;7;2;1;2;3;4;5;6;7;8
4;3;2;3;4;5;6;7;8;3;2;1;2;3;4;5;6;7;2;1;0;1;2;3;4;5;6;3;2;1;2;3;4;5;6;7
5;4;3;2;3;4;5;6;7;4;3;2;1;2;3;4;5;6;3;2;1;0;1;2;3;4;5;4;3;2;1;2;3;4;5;6
6;5;4;3;2;3;4;5;6;5;4;3;2;1;2;3;4;5;4;3;2;1;0;1;2;3;4;5;4;3;2;1;2;3;4;5
7;6;5;4;3;2;3;4;5;6;5;4;3;2;1;2;3;4;5;4;3;2;1;0;1;2;3;6;5;4;3;2;1;2;3;4
8;7;6;5;4;3;2;3;4;7;6;5;4;3;2;1;2;3;6;5;4;3;2;1;0;1;2;7;6;5;4;3;2;1;2;3
9;8;7;6;5;4;3;2;3;8;7;6;5;4;3;2;1;2;7;6;5;4;3;2;1;0;1;8;7;6;5;4;3;2;1;2
10;9;8;7;6;5;4;3;2;9;8;7;6;5;4;3;2;1;8;7;6;5;4;3;2;1;0;9;8;7;6;5;4;3;2;1
3;4;5;6;7;8;9;10;11;2;3;4;5;6;7;8;9;10;1;2;3;4;5;6;7;8;9;0;1;2;3;4;5;6;7;8
4;3;4;5;6;7;8;9;10;3;2;3;4;5;6;7;8;9;2;1;2;3;4;5;6;7;8;1;0;1;2;3;4;5;6;7
5;4;3;4;5;6;7;8;9;4;3;2;3;4;5;6;7;8;3;2;1;2;3;4;5;6;7;2;1;0;1;2;3;4;5;6
6;5;4;3;4;5;6;7;8;5;4;3;2;3;4;5;6;7;4;3;2;1;2;3;4;5;6;3;2;1;0;1;2;3;4;5
7;6;5;4;3;4;5;6;7;6;5;4;3;2;3;4;5;6;5;4;3;2;1;2;3;4;5;4;3;2;1;0;1;2;3;4
8;7;6;5;4;3;4;5;6;7;6;5;4;3;2;3;4;5;6;5;4;3;2;1;2;3;4;5;4;3;2;1;0;1;2;3
9;8;7;6;5;4;3;4;5;8;7;6;5;4;3;2;3;4;7;6;5;4;3;2;1;2;3;6;5;4;3;2;1;0;1;2
10;9;8;7;6;5;4;3;4;9;8;7;6;5;4;3;2;3;8;7;6;5;4;3;2;1;2;7;6;5;4;3;2;1;0;1
11;10;9;8;7;6;5;4;3;10;9;8;7;6;5;4;3;2;9;8;7;6;5;4;3;2;1;8;7;6;5;4;3;2;1;0
